"TimeStamp","Label","Value","EventTime","Trigger","Condition","ID"
1591125038,"control",5,"1591124949347","happy","Support","Participant1"
1591125038,"control",5,"1591124971063","again","SimplePs","Participant1"
1591125038,"experiment",3,"1591124989729","stop","NoPsFirst","Participant1"
1591125038,"experiment",6,"1591125007830","aware","PsFirst","Participant1"
1591125038,"experiment",6,"1591125022650","find out","NoPsSecond","Participant1"
1591125038,"experiment",6,"1591125036645","continue","PsSecond","Participant1"
1591125107,"control",5,"1591124979642","find out","SimplePs","Participant2"
1591125107,"control",5,"1591125003737","again","Support","Participant2"
1591125107,"experiment",7,"1591125027043","aware","PsSecond","Participant2"
1591125107,"experiment",5,"1591125050845","stop","PsFirst","Participant2"
1591125107,"experiment",3,"1591125070737","continue","NoPsSecond","Participant2"
1591125107,"experiment",6,"1591125104678","happy","NoPsFirst","Participant2"
1591125152,"control",7,"1591124984400","happy","Support","Participant3"
1591125152,"control",3,"1591125018250","again","SimplePs","Participant3"
1591125152,"experiment",3,"1591125058100","aware","PsFirst","Participant3"
1591125152,"experiment",6,"1591125084697","stop","NoPsFirst","Participant3"
1591125152,"experiment",3,"1591125132311","continue","PsSecond","Participant3"
1591125152,"experiment",6,"1591125148483","find out","NoPsSecond","Participant3"
1591125189,"control",3,"1591124927458","stop","SimplePs","Participant4"
1591125189,"control",4,"1591125011079","find out","Support","Participant4"
1591125189,"experiment",5,"1591125073966","happy","PsSecond","Participant4"
1591125189,"experiment",5,"1591125112903","again","PsFirst","Participant4"
1591125189,"experiment",4,"1591125159150","continue","NoPsFirst","Participant4"
1591125189,"experiment",3,"1591125187839","aware","NoPsSecond","Participant4"
1591125225,"control",2,"1591125118459","continue","SimplePs","Participant5"
1591125225,"control",6,"1591125134661","stop","Support","Participant5"
1591125225,"experiment",6,"1591125154135","aware","NoPsFirst","Participant5"
1591125225,"experiment",2,"1591125182231","again","PsSecond","Participant5"
1591125225,"experiment",6,"1591125207687","happy","NoPsSecond","Participant5"
1591125225,"experiment",6,"1591125222448","find out","PsFirst","Participant5"
1591125240,"control",7,"1591125052602","aware","SimplePs","Participant6"
1591125240,"control",7,"1591125087279","continue","Support","Participant6"
1591125240,"experiment",7,"1591125131503","happy","PsFirst","Participant6"
1591125240,"experiment",1,"1591125159676","stop","NoPsSecond","Participant6"
1591125240,"experiment",7,"1591125181555","find out","PsSecond","Participant6"
1591125240,"experiment",1,"1591125239064","again","NoPsFirst","Participant6"
1591125295,"control",7,"1591125183469","find out","Support","Participant7"
1591125295,"control",6,"1591125201272","stop","SimplePs","Participant7"
1591125295,"experiment",6,"1591125228280","happy","PsSecond","Participant7"
1591125295,"experiment",4,"1591125247923","continue","NoPsFirst","Participant7"
1591125295,"experiment",4,"1591125262289","again","PsFirst","Participant7"
1591125295,"experiment",6,"1591125292422","aware","NoPsSecond","Participant7"
1591125577,"control",2,"1591125292172","find out","SimplePs","Participant8"
1591125577,"control",2,"1591125327400","again","Support","Participant8"
1591125577,"experiment",6,"1591125375913","aware","PsSecond","Participant8"
1591125577,"experiment",6,"1591125484048","stop","PsFirst","Participant8"
1591125577,"experiment",5,"1591125523497","happy","NoPsFirst","Participant8"
